# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = BNN_partial_sum_SLICED_ARGS_logit_SHARED_ARGS_y_row_indexing_and_transposition_model
# method = sample (Default)
#   sample
#     num_samples = 1
#     num_warmup = 1
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = /tmp/tmp8ug4qyqy/msuk2swa.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /home/jmaronasm/STAN_time_comparison/results/cuda/NO_openMPI_threads_10/partial_sum_SLICED_ARGS_logit_SHARED_ARGS_y_row_indexing_and_transposition/BNN_partial_sum_SLICED_ARGS_logit_SHARED_ARGS_y_row_indexing_and_transposition-202103231618-1.csv
#   diagnostic_file = /home/jmaronasm/STAN_time_comparison/results/cuda/NO_openMPI_threads_10/partial_sum_SLICED_ARGS_logit_SHARED_ARGS_y_row_indexing_and_transposition/BNN_partial_sum_SLICED_ARGS_logit_SHARED_ARGS_y_row_indexing_and_transposition-202103231618-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# opencl
#   device = -1 (Default)
#   platform = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,W.1.1,W.2.1,W.3.1,W.4.1,W.5.1,W.6.1,W.7.1,W.8.1,W.9.1,W.10.1,W.1.2,W.2.2,W.3.2,W.4.2,W.5.2,W.6.2,W.7.2,W.8.2,W.9.2,W.10.2,W.1.3,W.2.3,W.3.3,W.4.3,W.5.3,W.6.3,W.7.3,W.8.3,W.9.3,W.10.3,W.1.4,W.2.4,W.3.4,W.4.4,W.5.4,W.6.4,W.7.4,W.8.4,W.9.4,W.10.4,W.1.5,W.2.5,W.3.5,W.4.5,W.5.5,W.6.5,W.7.5,W.8.5,W.9.5,W.10.5,W.1.6,W.2.6,W.3.6,W.4.6,W.5.6,W.6.6,W.7.6,W.8.6,W.9.6,W.10.6,W.1.7,W.2.7,W.3.7,W.4.7,W.5.7,W.6.7,W.7.7,W.8.7,W.9.7,W.10.7,W.1.8,W.2.8,W.3.8,W.4.8,W.5.8,W.6.8,W.7.8,W.8.8,W.9.8,W.10.8,W.1.9,W.2.9,W.3.9,W.4.9,W.5.9,W.6.9,W.7.9,W.8.9,W.9.9,W.10.9,W.1.10,W.2.10,W.3.10,W.4.10,W.5.10,W.6.10,W.7.10,W.8.10,W.9.10,W.10.10,p_W.1.1,p_W.2.1,p_W.3.1,p_W.4.1,p_W.5.1,p_W.6.1,p_W.7.1,p_W.8.1,p_W.9.1,p_W.10.1,p_W.1.2,p_W.2.2,p_W.3.2,p_W.4.2,p_W.5.2,p_W.6.2,p_W.7.2,p_W.8.2,p_W.9.2,p_W.10.2,p_W.1.3,p_W.2.3,p_W.3.3,p_W.4.3,p_W.5.3,p_W.6.3,p_W.7.3,p_W.8.3,p_W.9.3,p_W.10.3,p_W.1.4,p_W.2.4,p_W.3.4,p_W.4.4,p_W.5.4,p_W.6.4,p_W.7.4,p_W.8.4,p_W.9.4,p_W.10.4,p_W.1.5,p_W.2.5,p_W.3.5,p_W.4.5,p_W.5.5,p_W.6.5,p_W.7.5,p_W.8.5,p_W.9.5,p_W.10.5,p_W.1.6,p_W.2.6,p_W.3.6,p_W.4.6,p_W.5.6,p_W.6.6,p_W.7.6,p_W.8.6,p_W.9.6,p_W.10.6,p_W.1.7,p_W.2.7,p_W.3.7,p_W.4.7,p_W.5.7,p_W.6.7,p_W.7.7,p_W.8.7,p_W.9.7,p_W.10.7,p_W.1.8,p_W.2.8,p_W.3.8,p_W.4.8,p_W.5.8,p_W.6.8,p_W.7.8,p_W.8.8,p_W.9.8,p_W.10.8,p_W.1.9,p_W.2.9,p_W.3.9,p_W.4.9,p_W.5.9,p_W.6.9,p_W.7.9,p_W.8.9,p_W.9.9,p_W.10.9,p_W.1.10,p_W.2.10,p_W.3.10,p_W.4.10,p_W.5.10,p_W.6.10,p_W.7.10,p_W.8.10,p_W.9.10,p_W.10.10,g_W.1.1,g_W.2.1,g_W.3.1,g_W.4.1,g_W.5.1,g_W.6.1,g_W.7.1,g_W.8.1,g_W.9.1,g_W.10.1,g_W.1.2,g_W.2.2,g_W.3.2,g_W.4.2,g_W.5.2,g_W.6.2,g_W.7.2,g_W.8.2,g_W.9.2,g_W.10.2,g_W.1.3,g_W.2.3,g_W.3.3,g_W.4.3,g_W.5.3,g_W.6.3,g_W.7.3,g_W.8.3,g_W.9.3,g_W.10.3,g_W.1.4,g_W.2.4,g_W.3.4,g_W.4.4,g_W.5.4,g_W.6.4,g_W.7.4,g_W.8.4,g_W.9.4,g_W.10.4,g_W.1.5,g_W.2.5,g_W.3.5,g_W.4.5,g_W.5.5,g_W.6.5,g_W.7.5,g_W.8.5,g_W.9.5,g_W.10.5,g_W.1.6,g_W.2.6,g_W.3.6,g_W.4.6,g_W.5.6,g_W.6.6,g_W.7.6,g_W.8.6,g_W.9.6,g_W.10.6,g_W.1.7,g_W.2.7,g_W.3.7,g_W.4.7,g_W.5.7,g_W.6.7,g_W.7.7,g_W.8.7,g_W.9.7,g_W.10.7,g_W.1.8,g_W.2.8,g_W.3.8,g_W.4.8,g_W.5.8,g_W.6.8,g_W.7.8,g_W.8.8,g_W.9.8,g_W.10.8,g_W.1.9,g_W.2.9,g_W.3.9,g_W.4.9,g_W.5.9,g_W.6.9,g_W.7.9,g_W.8.9,g_W.9.9,g_W.10.9,g_W.1.10,g_W.2.10,g_W.3.10,g_W.4.10,g_W.5.10,g_W.6.10,g_W.7.10,g_W.8.10,g_W.9.10,g_W.10.10
-357064,0.5,0.0078125,1,2,1,1.80534e+06,2.84341,-0.832845,2.24105,0.898019,0.372579,-1.60066,-1.26165,-0.688285,0.693096,-1.24586,-0.528507,3.50207,-1.81127,-0.833549,-0.667023,-1.39925,-1.45407,-1.16588,-0.444198,0.269533,-1.28868,0.531997,2.02961,-0.187628,-0.0821203,-0.76686,-1.26283,0.571576,-0.0887744,-0.349344,-1.11976,0.511928,1.11888,1.64639,-1.52019,-1.08271,-0.85185,-1.447,1.01747,-1.13641,0.580486,-0.553686,1.67238,-1.14493,3.01909,0.778769,-0.157071,0.30322,-0.463864,-1.26005,-1.28789,-0.498956,0.0597616,-0.731593,0.0659333,2.67589,0.199013,-0.0903998,-1.14711,-1.30605,-0.903221,-0.843915,1.76499,0.736122,-0.768739,-0.671395,2.79425,-0.565905,-1.08917,-1.86972,-1.17629,0.0179245,-1.57095,-0.613239,-1.17502,-0.919723,0.202478,3.17775,0.850688,0.198102,0.550251,0.167318,-0.198486,0.123039,0.120386,-1.89202,-0.856578,-0.481883,3.65348,1.06496,0.544868,0.800596,1.55521,-0.773816,-0.380865,-1.48209,-0.340337,-0.504559,0.463466,2.40156,-406.248,44.8614,86.4712,-14.705,-21.4475,-3.79285,-9.41484,-4.08582,-0.642127,327.333,44.7147,-407.04,11.2252,87.6883,96.6203,44.6395,-27.9391,9.37903,32.4826,102.42,326.739,-83.3493,-445.629,30.9734,-151.388,-138.108,255.298,-69.984,248.674,22.9874,-17.7506,102.709,112.682,-482.747,-22.9479,260.37,-35.0398,6.95037,68.8385,23.689,97.0567,90.2198,16.3898,-29.3003,-375.898,25.3674,-33.5937,105.797,37.8348,66.1533,20.5173,77.9098,-1.23033,-50.899,16.6964,-330.332,101.911,59.6548,47.3598,54.777,-34.2389,134.728,202.434,224.395,-28.5752,68.825,-386.532,35.5023,-109.113,-105.432,-72.195,-61.4755,-63.5066,28.315,357.863,27.4843,127.331,-424.466,67.1739,14.5075,-43.7943,15.0876,37.8385,214.206,89.9421,62.679,-2.46726,22.2904,-442.453,41.6042,83.4611,89.725,44.7404,-7.84385,37.3243,-16.8429,10.9513,256.515,49.6558,-546.761,1781.31,-16000.1,30608.5,4039.2,343.124,-185.145,-208.666,-2693.46,-2882.16,-14760.3,-967.216,6737.9,-5924.74,-2779.48,-5255.23,-1416.14,-2540.57,-2475.45,-2073.96,16728.5,-4496.59,48942,-107557,4723.9,30.1982,-2771.74,-16392.7,9650.58,20516.2,46815.6,9906.85,28034.9,105.217,-63572.1,1656.95,-14282.8,-10737.4,5787.71,20291.3,23664.1,-460.406,-9623.34,12260.3,-2078.57,5073.57,2820.43,-851.153,7967.17,-6381.76,-8669,-3002.86,-3822.99,-571.034,4546.65,1302.02,4172.28,-115.71,5354.55,-4563.57,-3357.43,-12514.5,-57022.7,69954.7,54426.6,-2148.04,16072.4,28173.5,-9896.26,-33407.8,-54048.8,2631.51,8464,-4010.3,-492.807,-4783.26,-3636.51,579.857,-14794.8,6935.26,9145.75,3137.07,271.509,-2497.97,-1524.01,-1600.92,-3050.48,-1847.51,-1199.98,1706.55,6586.32,3983.04,-5978.39,7638.76,2709.73,5380.56,2271.33,3937.28,2299.01,-136.625,-22108
-357064,0,5.79578,0,1,1,357124,2.84341,-0.832845,2.24105,0.898019,0.372579,-1.60066,-1.26165,-0.688285,0.693096,-1.24586,-0.528507,3.50207,-1.81127,-0.833549,-0.667023,-1.39925,-1.45407,-1.16588,-0.444198,0.269533,-1.28868,0.531997,2.02961,-0.187628,-0.0821203,-0.76686,-1.26283,0.571576,-0.0887744,-0.349344,-1.11976,0.511928,1.11888,1.64639,-1.52019,-1.08271,-0.85185,-1.447,1.01747,-1.13641,0.580486,-0.553686,1.67238,-1.14493,3.01909,0.778769,-0.157071,0.30322,-0.463864,-1.26005,-1.28789,-0.498956,0.0597616,-0.731593,0.0659333,2.67589,0.199013,-0.0903998,-1.14711,-1.30605,-0.903221,-0.843915,1.76499,0.736122,-0.768739,-0.671395,2.79425,-0.565905,-1.08917,-1.86972,-1.17629,0.0179245,-1.57095,-0.613239,-1.17502,-0.919723,0.202478,3.17775,0.850688,0.198102,0.550251,0.167318,-0.198486,0.123039,0.120386,-1.89202,-0.856578,-0.481883,3.65348,1.06496,0.544868,0.800596,1.55521,-0.773816,-0.380865,-1.48209,-0.340337,-0.504559,0.463466,2.40156,1.49642,0.813636,0.219316,-0.488539,1.74583,0.0527366,-0.00300782,-1.4294,0.218937,0.887786,-1.25612,-0.304401,1.54854,-0.633248,-0.0432357,-0.845227,1.84821,0.481083,-1.25875,-0.188912,-0.331806,1.81251,-0.0644735,-0.371718,1.08762,0.897848,-0.785328,-0.755127,0.223873,1.64781,1.12754,-0.714876,-1.38726,-0.297821,2.27915,-1.17988,0.442188,0.906092,2.81274,1.63421,0.170742,-0.422972,1.50982,-0.462293,2.60682,0.847578,0.209747,-0.463133,1.58316,1.00343,1.4113,0.884234,-0.126145,-1.30995,-1.20975,-1.1956,0.752342,-1.67789,0.101619,-1.07484,0.974701,-0.477518,1.38624,-0.134652,2.28586,1.59761,-1.28286,0.0095764,-1.88215,0.885441,-0.924749,0.157249,0.931389,0.742371,-0.275291,0.0612091,0.271026,-1.08468,-0.782026,1.66207,-1.00609,-0.0420288,0.120795,-0.00606514,0.578243,1.91033,0.100552,0.402016,1.16045,0.370593,1.77401,-0.848402,0.625711,1.26468,1.83463,-0.453037,-0.351825,-1.7868,0.0807455,-0.13536,1781.31,-16000.1,30608.5,4039.2,343.124,-185.145,-208.666,-2693.46,-2882.16,-14760.3,-967.216,6737.9,-5924.74,-2779.48,-5255.23,-1416.14,-2540.57,-2475.45,-2073.96,16728.5,-4496.59,48942,-107557,4723.9,30.1982,-2771.74,-16392.7,9650.58,20516.2,46815.6,9906.85,28034.9,105.217,-63572.1,1656.95,-14282.8,-10737.4,5787.71,20291.3,23664.1,-460.406,-9623.34,12260.3,-2078.57,5073.57,2820.43,-851.153,7967.17,-6381.76,-8669,-3002.86,-3822.99,-571.034,4546.65,1302.02,4172.28,-115.71,5354.55,-4563.57,-3357.43,-12514.5,-57022.7,69954.7,54426.6,-2148.04,16072.4,28173.5,-9896.26,-33407.8,-54048.8,2631.51,8464,-4010.3,-492.807,-4783.26,-3636.51,579.857,-14794.8,6935.26,9145.75,3137.07,271.509,-2497.97,-1524.01,-1600.92,-3050.48,-1847.51,-1199.98,1706.55,6586.32,3983.04,-5978.39,7638.76,2709.73,5380.56,2271.33,3937.28,2299.01,-136.625,-22108
# 
#  Elapsed Time: 0.064 seconds (Warm-up)
#                0.043 seconds (Sampling)
#                0.107 seconds (Total)
# 
